"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"11","RT @DrAMSinghvi: ""The new governor of RBI is highly corrupt. I got him removed from the Finance Ministry.I am calling Shaktikanta Das as a…",FALSE,0,NA,2018-12-25 08:23:34,FALSE,NA,"1077479954885922816",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","sursmi",979,TRUE,FALSE,NA,NA
"12","RT @keshavyadaviyc: <U+092D><U+093E><U+091C><U+092A><U+093E> <U+0928><U+0947><U+0924><U+093E> <U+0938><U+0941><U+092C><U+094D><U+0930><U+092E><U+0923><U+094D><U+092F><U+092E>  <U+0928><U+0947> <U+092C><U+094B><U+0932><U+093E> <U+092D><U+094D><U+0930><U+0937><U+094D><U+091F><U+093E><U+091A><U+093E><U+0930> <U+0915><U+0947> <U+0906><U+0930><U+094B><U+092A> <U+092E><U+0947><U+0902> <U+0936><U+0936><U+093F><U+0915><U+093E><U+0902><U+0924> <U+0926><U+093E><U+0938> <U+0915><U+094B> <U+0935><U+093F><U+0924><U+094D><U+0924> <U+092E><U+0902><U+0924><U+094D><U+0930><U+093E><U+0932><U+092F> <U+0938><U+0947> <U+0928><U+093F><U+0915><U+093E><U+0932><U+093E> <U+091C><U+093E> <U+091A><U+0941><U+0915><U+0947> <U+0939><U+0948><U+0964> <U+0909><U+0928><U+0915><U+0947> <U+0915><U+093E><U+0932><U+0947> <U+0915><U+093E><U+0930>…",FALSE,0,NA,2018-12-25 08:22:49,FALSE,NA,"1077479767589470208",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","lalivirani3080",252,TRUE,FALSE,NA,NA
"13","RT @DrAMSinghvi: ""The new governor of RBI is highly corrupt. I got him removed from the Finance Ministry.I am calling Shaktikanta Das as a…",FALSE,0,NA,2018-12-25 08:21:32,FALSE,NA,"1077479444128837634",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","anish_aitc",979,TRUE,FALSE,NA,NA
"14","RT @chilledharry211: Got him removed from the [Finance Ministry],” Swamy said at an event. “I am calling Shaktikanta Das a corrupt person.…",FALSE,0,NA,2018-12-25 08:12:31,FALSE,NA,"1077477174200938496",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Kadirsolanki2",68,TRUE,FALSE,NA,NA
"15","RT @keshavyadaviyc: <U+092D><U+093E><U+091C><U+092A><U+093E> <U+0928><U+0947><U+0924><U+093E> <U+0938><U+0941><U+092C><U+094D><U+0930><U+092E><U+0923><U+094D><U+092F><U+092E>  <U+0928><U+0947> <U+092C><U+094B><U+0932><U+093E> <U+092D><U+094D><U+0930><U+0937><U+094D><U+091F><U+093E><U+091A><U+093E><U+0930> <U+0915><U+0947> <U+0906><U+0930><U+094B><U+092A> <U+092E><U+0947><U+0902> <U+0936><U+0936><U+093F><U+0915><U+093E><U+0902><U+0924> <U+0926><U+093E><U+0938> <U+0915><U+094B> <U+0935><U+093F><U+0924><U+094D><U+0924> <U+092E><U+0902><U+0924><U+094D><U+0930><U+093E><U+0932><U+092F> <U+0938><U+0947> <U+0928><U+093F><U+0915><U+093E><U+0932><U+093E> <U+091C><U+093E> <U+091A><U+0941><U+0915><U+0947> <U+0939><U+0948><U+0964> <U+0909><U+0928><U+0915><U+0947> <U+0915><U+093E><U+0932><U+0947> <U+0915><U+093E><U+0930>…",FALSE,0,NA,2018-12-25 08:10:49,FALSE,NA,"1077476747787075584",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Kadirsolanki2",252,TRUE,FALSE,NA,NA
"16","RT @ttindia: Subramanian Swamy alleged that Reserve Bank of India governor Shaktikanta Das was “highly corrupt” and said his appointment to…",FALSE,0,NA,2018-12-25 08:06:11,FALSE,NA,"1077475578775781377",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","Yoginimmi",134,TRUE,FALSE,NA,NA
"17","RT @aajtak: '<U+092E><U+0948><U+0902> <U+0936><U+0915><U+094D><U+0924><U+093F><U+0915><U+093E><U+0902><U+0924> <U+0926><U+093E><U+0938> <U+0915><U+094B> <U+092D><U+094D><U+0930><U+0937><U+094D><U+091F> <U+0935><U+094D><U+092F><U+0915><U+094D><U+0924><U+093F> <U+0915><U+0939> <U+0930><U+0939><U+093E> <U+0939><U+0942><U+0902>. <U+092E><U+0948><U+0902> <U+0939><U+0948><U+0930><U+093E><U+0928> <U+0939><U+0942><U+0902> <U+0915><U+093F> <U+091C><U+093F><U+0938> <U+0935><U+094D><U+092F><U+0915><U+094D><U+0924><U+093F> <U+0915><U+094B> <U+092D><U+094D><U+0930><U+0937><U+094D><U+091F><U+093E><U+091A><U+093E><U+0930> <U+0915><U+0947> <U+091A><U+0932><U+0924><U+0947> <U+092E><U+0948><U+0902><U+0928><U+0947> <U+0935><U+093F><U+0924><U+094D><U+0924> <U+092E><U+0902><U+0924><U+094D><U+0930><U+093E><U+0932><U+092F> <U+0938><U+0947> <U+0939><U+091F>…",FALSE,0,NA,2018-12-25 08:03:54,FALSE,NA,"1077475005053788160",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","lalivirani3080",3542,TRUE,FALSE,NA,NA
"18","RT @aajtak: '<U+092E><U+0948><U+0902> <U+0936><U+0915><U+094D><U+0924><U+093F><U+0915><U+093E><U+0902><U+0924> <U+0926><U+093E><U+0938> <U+0915><U+094B> <U+092D><U+094D><U+0930><U+0937><U+094D><U+091F> <U+0935><U+094D><U+092F><U+0915><U+094D><U+0924><U+093F> <U+0915><U+0939> <U+0930><U+0939><U+093E> <U+0939><U+0942><U+0902>. <U+092E><U+0948><U+0902> <U+0939><U+0948><U+0930><U+093E><U+0928> <U+0939><U+0942><U+0902> <U+0915><U+093F> <U+091C><U+093F><U+0938> <U+0935><U+094D><U+092F><U+0915><U+094D><U+0924><U+093F> <U+0915><U+094B> <U+092D><U+094D><U+0930><U+0937><U+094D><U+091F><U+093E><U+091A><U+093E><U+0930> <U+0915><U+0947> <U+091A><U+0932><U+0924><U+0947> <U+092E><U+0948><U+0902><U+0928><U+0947> <U+0935><U+093F><U+0924><U+094D><U+0924> <U+092E><U+0902><U+0924><U+094D><U+0930><U+093E><U+0932><U+092F> <U+0938><U+0947> <U+0939><U+091F>…",FALSE,0,NA,2018-12-25 08:03:46,FALSE,NA,"1077474971952111616",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RainaAdv",3542,TRUE,FALSE,NA,NA
"19","RT @bsindia: RBI Governor Shaktikanta Das was involved in 'corruption', alleges @Swamy39

He did not give any details about the ""corruption…",FALSE,0,NA,2018-12-25 07:58:59,FALSE,NA,"1077473768501596162",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Subhank25219819",11,TRUE,FALSE,NA,NA
"20","RT @keshavyadaviyc: <U+092D><U+093E><U+091C><U+092A><U+093E> <U+0928><U+0947><U+0924><U+093E> <U+0938><U+0941><U+092C><U+094D><U+0930><U+092E><U+0923><U+094D><U+092F><U+092E>  <U+0928><U+0947> <U+092C><U+094B><U+0932><U+093E> <U+092D><U+094D><U+0930><U+0937><U+094D><U+091F><U+093E><U+091A><U+093E><U+0930> <U+0915><U+0947> <U+0906><U+0930><U+094B><U+092A> <U+092E><U+0947><U+0902> <U+0936><U+0936><U+093F><U+0915><U+093E><U+0902><U+0924> <U+0926><U+093E><U+0938> <U+0915><U+094B> <U+0935><U+093F><U+0924><U+094D><U+0924> <U+092E><U+0902><U+0924><U+094D><U+0930><U+093E><U+0932><U+092F> <U+0938><U+0947> <U+0928><U+093F><U+0915><U+093E><U+0932><U+093E> <U+091C><U+093E> <U+091A><U+0941><U+0915><U+0947> <U+0939><U+0948><U+0964> <U+0909><U+0928><U+0915><U+0947> <U+0915><U+093E><U+0932><U+0947> <U+0915><U+093E><U+0930>…",FALSE,0,NA,2018-12-25 07:57:48,FALSE,NA,"1077473472236859392",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ManjuRM9",252,TRUE,FALSE,NA,NA
"21","Don't worry Narendra Modi will work 26 hours a day with his pal Shaktikanta Das and fix things https://t.co/iQsDO1Gw13",FALSE,0,NA,2018-12-25 07:56:31,FALSE,NA,"1077473148352643072",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","bgradecitizen",0,FALSE,FALSE,NA,NA
"22","RT @IndianExpress: BJP leader Subramanian Swamy Saturday alleged Reserve Bank of India Governor Shaktikanta Das was involved in corruption…",FALSE,0,NA,2018-12-25 07:56:26,FALSE,NA,"1077473127893004288",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Subhank25219819",783,TRUE,FALSE,NA,NA
"23","RT @NATRAJSHETTY: Dr @Swamy39 alleges RBI Governor Shaktikanta Das involved in Corruption. Tainted, hand in glove with ex FM PC. 
Ideal per…",FALSE,0,NA,2018-12-25 07:53:13,FALSE,NA,"1077472318723624960",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","LifeTruth___",50,TRUE,FALSE,NA,NA
"24","RT @keshavyadaviyc: <U+092D><U+093E><U+091C><U+092A><U+093E> <U+0928><U+0947><U+0924><U+093E> <U+0938><U+0941><U+092C><U+094D><U+0930><U+092E><U+0923><U+094D><U+092F><U+092E>  <U+0928><U+0947> <U+092C><U+094B><U+0932><U+093E> <U+092D><U+094D><U+0930><U+0937><U+094D><U+091F><U+093E><U+091A><U+093E><U+0930> <U+0915><U+0947> <U+0906><U+0930><U+094B><U+092A> <U+092E><U+0947><U+0902> <U+0936><U+0936><U+093F><U+0915><U+093E><U+0902><U+0924> <U+0926><U+093E><U+0938> <U+0915><U+094B> <U+0935><U+093F><U+0924><U+094D><U+0924> <U+092E><U+0902><U+0924><U+094D><U+0930><U+093E><U+0932><U+092F> <U+0938><U+0947> <U+0928><U+093F><U+0915><U+093E><U+0932><U+093E> <U+091C><U+093E> <U+091A><U+0941><U+0915><U+0947> <U+0939><U+0948><U+0964> <U+0909><U+0928><U+0915><U+0947> <U+0915><U+093E><U+0932><U+0947> <U+0915><U+093E><U+0930>…",FALSE,0,NA,2018-12-25 07:52:31,FALSE,NA,"1077472139014328321",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","congressumant",252,TRUE,FALSE,NA,NA
"25","<U+0A86><U+0AB0><U+0AAC><U+0AC0><U+0A86><U+0A88> <U+0A97><U+0AB5><U+0AB0><U+0ACD><U+0AA8><U+0AB0> ‘<U+0AA7><U+0AB0><U+0ACD><U+0AAE>’ <U+0AA8><U+0ABF><U+0AAD><U+0ABE><U+0AB5><U+0AC7><U+0A83> <U+0AAA><U+0AC2><U+0AB0><U+0ACD><U+0AB5> <U+0A97><U+0AB5><U+0AB0><U+0ACD><U+0AA8><U+0AB0> <U+0AB8><U+0AC0>. <U+0AB0><U+0A82><U+0A97><U+0AB0><U+0ABE><U+0A9C><U+0AA8> https://t.co/nwrnJwOQC0",FALSE,0,NA,2018-12-25 07:50:01,FALSE,NA,"1077471512691687424",NA,"<a href=""https://vyaapaarsamachar.com"" rel=""nofollow"">vyaapaarsamachar</a>","VyaapaarTweets",0,FALSE,FALSE,NA,NA
